pwm,gram
4.0,21.56
9.0,26.91
14.0,34.2
17.0,42.38
22.0,73.51
27.0,103.99
29.0,110.62
32.0,137.38
36.0,170.44
38.0,199.43
42.0,227.69
45.0,263.05
47.0,296.36
50.0,333.13
53.0,360.38
56.0,405.33
58.0,430.7
60.0,466.93
62.0,488.77
66.0,565.96
71.0,638.91
75.0,722.38
79.0,799.97
83.0,873.82
85.0,920.54
90.0,1019.67
94.0,1127.6
96.0,1164.01
100.0,1265.88
2.0,13.84
7.0,17.92
12.0,36.42
15.0,32.78
17.0,47.54
20.0,69.48
22.0,78.09
24.0,85.22
26.0,91.63
28.0,103.75
30.0,129.83
34.0,160.54
39.0,210.46
42.0,229.85
45.0,257.94
47.0,282.42
52.0,352.34
54.0,371.71
59.0,448.06
62.0,493.7
67.0,567.57
69.0,608.77
71.0,636.49
76.0,734.25
78.0,777.01
81.0,835.91
85.0,910.06
90.0,1022.99
94.0,1121.06
98.0,1216.47
100.0,1265.88
3.0,16.86
7.0,13.33
9.0,22.49
14.0,34.47
16.0,49.37
19.0,49.34
24.0,87.41
28.0,114.91
31.0,135.8
35.0,172.39
37.0,190.51
41.0,224.65
46.0,273.77
48.0,308.62
50.0,332.21
53.0,366.71
56.0,404.53
61.0,483.94
63.0,508.02
65.0,541.22
69.0,616.0
74.0,695.95
78.0,768.89
82.0,850.96
85.0,921.0
90.0,1023.19
92.0,1067.81
95.0,1148.17
100.0,1265.88
3.0,10.87
7.0,13.49
9.0,16.49
12.0,22.87
16.0,50.8
19.0,59.95
24.0,80.98
26.0,91.44
31.0,135.38
34.0,158.15
39.0,195.87
43.0,237.28
46.0,279.61
51.0,336.24
53.0,368.74
56.0,401.14
59.0,455.16
64.0,532.62
67.0,580.42
71.0,649.16
74.0,697.67
79.0,791.02
83.0,872.28
86.0,936.33
90.0,1022.53
92.0,1080.17
96.0,1167.66
100.0,1265.88
2.0,8.32
4.0,9.73
9.0,14.34
11.0,22.11
15.0,35.21
20.0,61.18
25.0,91.4
30.0,123.99
33.0,156.02
38.0,198.8
43.0,245.62
45.0,258.73
48.0,296.35
53.0,370.99
57.0,422.69
59.0,443.31
63.0,502.76
67.0,567.77
70.0,621.54
75.0,716.3
77.0,761.06
80.0,817.97
82.0,854.72
86.0,940.42
88.0,976.86
90.0,1033.16
93.0,1104.02
98.0,1219.38
100.0,1265.88
5.0,17.97
7.0,19.74
10.0,19.28
15.0,39.05
20.0,65.89
23.0,83.63
27.0,104.51
32.0,141.36
35.0,166.98
38.0,198.3
43.0,250.63
47.0,288.41
49.0,315.3
52.0,358.37
55.0,395.83
60.0,464.49
65.0,546.43
69.0,612.07
71.0,645.97
74.0,698.29
77.0,748.76
80.0,819.74
83.0,879.85
87.0,964.6
5.0,22.42
7.0,18.86
9.0,27.52
13.0,31.86
16.0,49.35
21.0,63.94
26.0,93.28
31.0,134.54
35.0,169.55
37.0,178.72
41.0,228.7
44.0,256.91
47.0,294.79
52.0,351.34
56.0,402.47
58.0,428.13
62.0,492.48
64.0,520.55
68.0,592.35
73.0,679.3
76.0,740.51
79.0,794.64
81.0,834.93
84.0,893.04
87.0,962.68
89.0,1009.12
94.0,1114.72
99.0,1233.4
100.0,1265.88
4.0,7.01
